CustomerID,Gender,Age,Region,City,Branch,HasPartner,TenureYears,AccountType,HasMobileBanking,HasCreditCard,IsActiveMember,Balance_ETB,MonthlyServiceFee_ETB,NumberOfTransactions,Exited
5808053162473,Male,87,Addis Ababa (Chartered City),Addis Ababa,Kotebe Zero Hulet Branch,Yes,,Savings,No,Yes,Yes,4223.41,129.23,270.0,No
5306404042870,Male,61,Amhara Region,Bahir Dar,Bahir Dar Stadium Branch,Yes,22.5,Current,Yes,Yes,Yes,1526.37,175.43,87.0,No
5847087372942,Female,47,Sidama Region,Hawassa,Tabor Branch,Yes,5.7,Current,Yes,No,Yes,1387.46,169.23,130.0,No
5704054194082,Male,25,Oromia Region,Nekemte,Nekemte Main Branch,Yes,12.3,Current,Yes,Yes,Yes,1823.5,132.05,21.0,No
5617380026649,Female,72,SNNPR (Southern Nations),Wolkite,Wolkite Branch,No,5.4,Savings,No,Yes,Yes,209.99,35.98,58.0,No
5581830843906,Female,19,Addis Ababa (Chartered City),Addis Ababa,CMC Branch,Yes,7.6,Current,No,No,No,2384.73,87.13,174.0,Yes
5924699779240,Male,38,Amhara Region,Bahir Dar,Bahir Dar Main Branch,Yes,5.3,Savings,Yes,No,Yes,4338.13,106.45,243.0,No
5605362105548,Male,72,Addis Ababa (Chartered City),Addis Ababa,CMC Branch,Yes,9.1,Fixed,Yes,No,Yes,1682.65,73.48,166.0,No
5608117155426,Male,18,Oromia Region,Bekoji,Bekoji Branch,Yes,,Savings,Yes,No,Yes,25657.17,123.73,13.0,No
5103897019487,Male,63,SNNPR (Southern Nations),Halaba,Halaba Kulito Branch,No,16.1,Savings,No,,Yes,10374.76,146.1,263.0,No
5272569912085,Male,88,SNNPR (Southern Nations),Dilla,Dilla Branch,,2.5,Savings,No,Yes,Yes,21603.81,46.34,,No
5862361016774,Female,89,Sidama Region,Wondogenet,Wondogenet Branch,No,17.6,Savings,No,Yes,Yes,,109.31,190.0,No
5653129325865,Male,48,Oromia Region,Adama,Aba Geda Branch,No,9.8,Savings,Yes,Yes,Yes,5376.51,109.22,201.0,No
5735001525541,Female,27,Oromia Region,Asella,Asella Branch,Yes,15.4,Savings,Yes,Yes,No,833.9,,214.0,Yes
5333734162755,Male,88,Amhara Region,Bahir Dar,Bilal Branch,No,2.0,Savings,No,Yes,Yes,29237.53,57.9,212.0,No
5059468562624,Male,53,Amhara Region,Bahir Dar,Bahir Dar Main Branch,,4.5,Fixed,No,Yes,No,3971.04,,251.0,Yes
5473082460535,,64,Oromia Region,Adama,Mojo Branch,Yes,12.7,Savings,No,No,Yes,2906.66,79.08,156.0,No
5193379984954,Female,70,Oromia Region,Shashemene,Shashemene Branch,Yes,15.5,Savings,Yes,Yes,Yes,13276.93,148.82,260.0,No
5362488651216,Female,53,Oromia Region,Metu,Metu Branch,No,10.7,Fixed,Yes,Yes,Yes,9476.14,40.36,27.0,No
5478088603679,Male,42,Addis Ababa (Chartered City),Addis Ababa,Balcha Branch,,16.3,Fixed,No,Yes,No,,122.92,61.0,Yes
5443782576388,Female,42,Addis Ababa (Chartered City),Addis Ababa,Misrak Gerji Branch,No,7.9,Fixed,No,No,No,11770.88,61.66,213.0,Yes
5559263589018,Female,39,Amhara Region,Dessie,Dessie Main Branch,Yes,16.6,Fixed,No,Yes,No,11242.14,,256.0,Yes
5634065014236,Male,67,SNNPR (Southern Nations),Halaba,Halaba Kulito Branch,No,0.3,,No,Yes,Yes,2422.51,146.7,282.0,No
5732140067838,Female,74,Oromia Region,Bekoji,Bekoji Branch,No,14.8,Savings,No,No,Yes,1027.51,152.78,62.0,No
5316597264475,Male,58,Somali Region,Jijiga,Jijiga Branch,Yes,4.2,Fixed,No,,Yes,5805.56,102.24,95.0,No
5634648396163,Female,63,Dire Dawa (Chartered City),Dire Dawa,Melka Jebdu Branch,No,11.4,Current,Yes,Yes,No,6985.65,92.56,28.0,No
5687111968895,Male,90,Tigray Region,Mekelle,Ayder Branch,Yes,13.8,Current,No,No,Yes,720.94,65.56,186.0,No
5595922521544,Male,62,Dire Dawa (Chartered City),Dire Dawa,Melka Jebdu Branch,Yes,10.9,,Yes,Yes,No,3154.11,13.46,133.0,No
